zil-additional-service  | 
zil-additional-service  | 2026-05-04T14:42:12.216Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=224 sumNanos=117909770122 avgNanos=526382902
zil-additional-service  | 2026-05-04T14:42:12.216Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.availability_new count=205 sumNanos=195288412718 avgNanos=952626403
zil-additional-service  | 2026-05-04T14:42:12.216Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.availability.allCitiesAllDates count=205 sumNanos=353760969 avgNanos=1725663
zil-additional-service  | 2026-05-04T14:42:12.216Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=11 sumNanos=72049 avgNanos=6549
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=11 sumNanos=14559133934 avgNanos=1323557630
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=11 sumNanos=4212273405 avgNanos=382933945
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=216 sumNanos=88858602069 avgNanos=411382416
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=224 sumNanos=117909770122 avgNanos=526382902
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.availability_new count=205 sumNanos=195288412718 avgNanos=952626403
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.availability.allCitiesAllDates count=205 sumNanos=353760969 avgNanos=1725663
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=11 sumNanos=72049 avgNanos=6549
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=11 sumNanos=14559133934 avgNanos=1323557630
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=11 sumNanos=4212273405 avgNanos=382933945
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=216 sumNanos=88858602069 avgNanos=411382416
zil-additional-service  | 2026-05-04T14:42:12.217Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=224 sumNanos=117909770122 avgNanos=526382902
zil-additional-service  | 2026-05-04T14:42:12.219Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=205 sumNanos=195288412718 avgNanos=952626403
zil-additional-service  | 2026-05-04T14:42:12.219Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=205 sumNanos=353760969 avgNanos=1725663
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=19 sumNanos=41142 avgNanos=2165
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=19 sumNanos=14098500391 avgNanos=742026336
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.clients count=19 sumNanos=4532629769 avgNanos=238559461
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.rents count=351 sumNanos=91643435580 avgNanos=261092409
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=http.main.cars count=345 sumNanos=75901604252 avgNanos=220004650
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.availability_new count=332 sumNanos=161876440027 avgNanos=487579638
zil-additional-service  | 2026-05-04T14:42:17.221Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.availability.allCitiesAllDates count=332 sumNanos=166756237 avgNanos=502277
zil-additional-service  | 2026-05-04T14:42:17.225Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.stats count=23 sumNanos=100495 avgNanos=4369
zil-additional-service  | 2026-05-04T14:42:17.225Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.stats count=23 sumNanos=22078900646 avgNanos=959952202
zil-additional-service  | 2026-05-04T14:42:17.225Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.clients count=23 sumNanos=6893976727 avgNanos=299738118
zil-additional-service  | 2026-05-04T14:42:17.230Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.rents count=413 sumNanos=132375965748 avgNanos=320522919
zil-additional-service  | 2026-05-04T14:42:17.230Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=http.main.cars count=422 sumNanos=156303302109 avgNanos=370386971
zil-additional-service  | 2026-05-04T14:42:17.230Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=web.additional.availability_new count=390 sumNanos=273095463305 avgNanos=700244777
zil-additional-service  | 2026-05-04T14:42:17.230Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=30s category=additional.statsComputation.availability.allCitiesAllDates count=390 sumNanos=431358495 avgNanos=1106047
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.stats count=23 sumNanos=100495 avgNanos=4369
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.stats count=23 sumNanos=22078900646 avgNanos=959952202
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.clients count=23 sumNanos=6893976727 avgNanos=299738118
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.rents count=413 sumNanos=132375965748 avgNanos=320522919
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=http.main.cars count=422 sumNanos=156303302109 avgNanos=370386971
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=web.additional.availability_new count=390 sumNanos=273095463305 avgNanos=700244777
zil-additional-service  | 2026-05-04T14:42:17.231Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=1m category=additional.statsComputation.availability.allCitiesAllDates count=390 sumNanos=431358495 avgNanos=1106047
zil-additional-service  | 2026-05-04T14:42:22.236Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=additional.statsComputation.stats count=20 sumNanos=54201 avgNanos=2710
zil-additional-service  | 2026-05-04T14:42:22.243Z  INFO 1 --- [zil-additional-service] [   scheduling-1] r.a.observability.ObservabilityService   : LAB9 Observability window=10s category=web.additional.stats count=20 sumNanos=12177540602 avgNanos=608877030
